Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lotus,1,9,Romain Grosjean,3,Kimi Räikkönen,2
Red Bull,2,6,Mark Webber,7,Sebastian Vettel,1
McLaren,3,4,Sergio Pérez,8,Jenson Button,6
Mercedes,4,3,Nico Rosberg,9,Lewis Hamilton,5
Force India,5,2,Adrian Sutil,13,Paul di Resta,11
Sauber,6,1,Esteban Gutiérrez,14,Nico Hülkenberg,10
Williams,7,0,Valtteri Bottas,16,Pastor Maldonado,15
Caterham,8,0,Giedo van der Garde,18,Charles Pic,17
Ferrari,9,0,,,Fernando Alonso,4
Toro Rosso,10,0,,,Daniel Ricciardo,12
Marussia,11,0,,,Max Chilton,19
